<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
10/09/2018,103310,103340,103310,103340
10/09/2018,103320,103320,103290,103290
10/09/2018,103280,103290,103280,103290
10/09/2018,103290,103290,103270,103270
10/09/2018,103270,103270,103270,103270
10/09/2018,103300,103300,103300,103300
10/09/2018,103350,103350,103320,103320
10/09/2018,103360,103360,103330,103330
10/09/2018,103330,103330,103320,103320
10/09/2018,103320,103320,103260,103300
10/09/2018,103310,103310,103250,103250
10/09/2018,103200,103260,103190,103260
10/09/2018,103250,103300,103250,103300
10/09/2018,103320,103320,103320,103320
10/09/2018,103310,103310,103250,103250
10/09/2018,103250,103250,103220,103220
10/09/2018,103190,103200,103190,103200
10/09/2018,103220,103220,103220,103220
10/09/2018,103290,103290,103280,103280
10/09/2018,103240,103240,103150,103150
10/09/2018,103240,103240,103220,103220
10/09/2018,103300,103340,103280,103280
10/09/2018,103300,103300,103300,103300
10/09/2018,103280,103280,103250,103250
10/09/2018,103250,103250,103130,103170
10/09/2018,103140,103150,103110,103110
10/09/2018,103130,103180,103130,103180
10/09/2018,103150,103200,103150,103200
10/09/2018,103220,103220,103220,103220
10/09/2018,103150,103150,103150,103150
10/09/2018,103200,103200,103200,103200
10/09/2018,103160,103160,103160,103160
10/09/2018,103190,103200,103190,103200
10/09/2018,103150,103150,103150,103150
10/09/2018,103090,103090,103040,103080
10/09/2018,103100,103100,103100,103100
10/09/2018,103120,103120,103110,103110
10/09/2018,103090,103090,103060,103090
10/09/2018,103140,103170,103140,103160
10/09/2018,103160,103210,103160,103210
10/09/2018,103190,103190,103190,103190
10/09/2018,103190,103230,103190,103230
10/09/2018,103250,103360,103250,103360
10/09/2018,103370,103400,103350,103350
10/09/2018,103300,103300,103300,103300
10/09/2018,103300,103300,103270,103270
10/09/2018,103260,103260,103240,103260
10/09/2018,103300,103310,103290,103310
10/09/2018,103360,103410,103360,103400
10/09/2018,103260,103260,103260,103260
10/09/2018,103270,103270,103270,103270
10/09/2018,103210,103220,103210,103220
10/09/2018,103220,103220,103220,103220
10/09/2018,103200,103220,103200,103220
10/09/2018,103260,103260,103260,103260
10/09/2018,103330,103330,103330,103330
10/09/2018,103320,103320,103320,103320
10/09/2018,103310,103330,103310,103330
