<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;240529;000000;318.4;320.4;315.92;320.38;22961680
SBER;D;240530;000000;320.91;321.55;316;316.63;26931430
SBER;D;240531;000000;316.5;318.49;309.8;313.11;49135220
SBER;D;240603;000000;313.5;315.5;305;310.95;61756350
SBER;D;240604;000000;310.97;316.5;308.8;316.49;33007760
SBER;D;240605;000000;316.63;318.28;313.85;314.72;27769570
SBER;D;240606;000000;314.7;316.45;311.15;313.08;28304600
SBER;D;240607;000000;313.61;320.64;312.73;319.9;44451740
SBER;D;240610;000000;320.79;321.98;315.21;317.28;26271510
SBER;D;240611;000000;317.5;319.84;315.88;317.8;20045280
SBER;D;240613;000000;305.83;317.82;304.14;317.71;40596660
SBER;D;240614;000000;317.8;320.7;316.2;319.35;21471310
SBER;D;240617;000000;320;320.45;316.85;317.65;15421940
SBER;D;240618;000000;317.65;318;313.02;314.34;21995830
SBER;D;240619;000000;314.38;314.78;307.51;310.7;42166660
SBER;D;240620;000000;310.71;314.72;306.02;314.15;72766890
SBER;D;240621;000000;314.9;316;312.6;314.14;29078260
SBER;D;240624;000000;314.57;319;314.14;317.25;29541850
SBER;D;240625;000000;317.42;319.89;316.28;319.8;25961320
SBER;D;240626;000000;320.1;324.56;319.8;324.55;42419730
SBER;D;240627;000000;324.8;327.83;322.63;327.16;46744210
SBER;D;240628;000000;327.83;329.3;325.8;327.15;40401840
SBER;D;240701;000000;327.68;329;326.25;327.1;31651010
SBER;D;240702;000000;327.3;328.87;326.82;328.37;21147250
SBER;D;240703;000000;328.6;330.45;327;328.2;32149800
SBER;D;240704;000000;328.37;329.57;323.81;324.66;40717120
SBER;D;240705;000000;324.72;327;321.01;325;40395560
SBER;D;240708;000000;325.76;327.44;323.74;324.07;27707420
SBER;D;240709;000000;324.32;325.33;317.5;319.99;54117710
SBER;D;240710;000000;319.01;320.3;314.3;316.68;88434130
SBER;D;240711;000000;289.96;296.98;285.22;295.87;163673770
SBER;D;240712;000000;296.01;297.48;290.97;292.21;49886960
SBER;D;240715;000000;292.93;293.86;283.5;284.38;58676410
SBER;D;240716;000000;284.49;285.69;276.7;285.25;82828490
SBER;D;240717;000000;285.84;289.96;283.23;284.68;42767400
SBER;D;240718;000000;284.69;289.99;282.73;289.83;34064140
SBER;D;240719;000000;290.67;292.58;289.2;289.9;30979970
SBER;D;240722;000000;291;294.95;291;294.71;33311040
SBER;D;240723;000000;295.45;295.48;293.36;294.39;22093540
SBER;D;240724;000000;294.38;296.67;293.2;295.69;24544600
SBER;D;240725;000000;295.7;297.3;294.2;296.37;22844710
SBER;D;240726;000000;296.4;300;292.67;293.3;84884940
SBER;D;240729;000000;292.94;292.94;286;286.58;52219730
SBER;D;240730;000000;286.5;291.99;284.32;290;42534130
SBER;D;240731;000000;290.46;291.2;288.01;289.3;25920100
SBER;D;240801;000000;289.75;290.69;287.04;287.21;18623090
SBER;D;240802;000000;287.21;287.99;284.37;286.04;30076980
SBER;D;240805;000000;282.79;283.46;275.17;275.49;81937270
SBER;D;240806;000000;277.02;281.16;276.35;279.4;43202810
SBER;D;240807;000000;280.01;283.27;277.21;282.2;48382920
SBER;D;240808;000000;283.25;285.42;280;281.09;42244110
SBER;D;240809;000000;280.98;282.67;279.62;281.44;22241490
SBER;D;240812;000000;280.17;281.5;278.03;280.74;27637540
SBER;D;240813;000000;281.05;284.33;280.42;283.92;24020180
SBER;D;240814;000000;284.2;284.7;280.12;280.32;21714850
SBER;D;240815;000000;280.62;280.85;276.73;278.01;28609160
SBER;D;240816;000000;278.06;279;274.32;274.6;26162430
SBER;D;240819;000000;275.08;275.56;265.02;268.17;68554390
SBER;D;240820;000000;268.35;269.49;263.36;266.2;54188810
